id,image_path,packet_json,answer_json
corr_001bdd7d1e6d5cdd,images/corr_001bdd7d1e6d5cdd.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c06"",""r00_c07"",""r01_c06"",""r01_c07"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r02_c06"",""r02_c07"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r03_c07"",""r04_c03"",""r04_c04"",""r04_c05"",""r04_c06"",""r04_c07"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c05"",""r05_c07"",""r06_c03""],""area_bins"":{""fair"":7,""poor"":5,""severe"":0},""fair_cells"":[""r00_c06"",""r00_c07"",""r01_c06"",""r01_c07"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r02_c06"",""r02_c07"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r04_c05"",""r04_c06"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c05"",""r06_c03""],""poor_cells"":[""r00_c07"",""r01_c07"",""r03_c07"",""r04_c03"",""r04_c04"",""r04_c05"",""r04_c07"",""r05_c03"",""r05_c04"",""r05_c07""],""row_condition_profile"":[4,4,1,4,4,4,1,0],""severe_cells"":[]}"
corr_001fbba75c02390e,images/corr_001fbba75c02390e.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r04_c06"",""r05_c01"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c05"",""r05_c06"",""r06_c00"",""r06_c01"",""r06_c02"",""r06_c03"",""r06_c04"",""r06_c05"",""r06_c06""],""area_bins"":{""fair"":5,""poor"":5,""severe"":0},""fair_cells"":[""r04_c06"",""r05_c01"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c06"",""r06_c00"",""r06_c01"",""r06_c02"",""r06_c03""],""poor_cells"":[""r05_c03"",""r05_c04"",""r05_c05"",""r05_c06"",""r06_c01"",""r06_c02"",""r06_c03"",""r06_c04"",""r06_c05"",""r06_c06""],""row_condition_profile"":[0,0,0,0,1,4,4,0],""severe_cells"":[]}"
corr_00b4c9cb4e019c09,images/corr_00b4c9cb4e019c09.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r05_c00""],""area_bins"":{""fair"":9,""poor"":0,""severe"":0},""fair_cells"":[""r00_c00"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r05_c00""],""poor_cells"":[],""row_condition_profile"":[1,1,1,1,1,1,0,0],""severe_cells"":[]}"
corr_0122a47483b67c50,images/corr_0122a47483b67c50.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r01_c00"",""r01_c01"",""r01_c02"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r05_c00"",""r05_c01"",""r05_c02"",""r05_c03""],""area_bins"":{""fair"":4,""poor"":0,""severe"":9},""fair_cells"":[""r00_c01"",""r00_c02"",""r01_c02""],""poor_cells"":[],""row_condition_profile"":[4,4,3,3,3,3,0,0],""severe_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r01_c00"",""r01_c01"",""r01_c02"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r05_c00"",""r05_c01"",""r05_c02"",""r05_c03""]}"
corr_013c7025c790ecee,images/corr_013c7025c790ecee.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r02_c02"",""r02_c04"",""r02_c05"",""r03_c02"",""r03_c03"",""r03_c04"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c02"",""r04_c03"",""r04_c04"",""r04_c05"",""r04_c06"",""r04_c07"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c05"",""r05_c06"",""r05_c07"",""r06_c02"",""r06_c03"",""r06_c04"",""r06_c05"",""r06_c06"",""r06_c07""],""area_bins"":{""fair"":9,""poor"":0,""severe"":0},""fair_cells"":[""r02_c02"",""r02_c04"",""r02_c05"",""r03_c02"",""r03_c03"",""r03_c04"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c02"",""r04_c03"",""r04_c04"",""r04_c05"",""r04_c06"",""r04_c07"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c05"",""r05_c06"",""r05_c07"",""r06_c02"",""r06_c03"",""r06_c04"",""r06_c05"",""r06_c06"",""r06_c07""],""poor_cells"":[],""row_condition_profile"":[0,0,1,1,1,1,1,0],""severe_cells"":[]}"
corr_016435f59590bd26,images/corr_016435f59590bd26.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c01"",""r00_c02"",""r00_c03""],""area_bins"":{""fair"":4,""poor"":0,""severe"":0},""fair_cells"":[""r00_c01"",""r00_c02"",""r00_c03""],""poor_cells"":[],""row_condition_profile"":[1,0,0,0,0,0,0,0],""severe_cells"":[]}"
corr_017916ff2c8f5dee,images/corr_017916ff2c8f5dee.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r00_c05"",""r00_c06"",""r00_c07"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c05"",""r04_c06"",""r04_c07""],""area_bins"":{""fair"":9,""poor"":5,""severe"":0},""fair_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r00_c05"",""r00_c06"",""r00_c07"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c05"",""r03_c06"",""r03_c07""],""poor_cells"":[""r01_c05"",""r02_c04"",""r02_c05"",""r02_c06"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c05"",""r04_c06"",""r04_c07""],""row_condition_profile"":[1,4,4,4,2,0,0,0],""severe_cells"":[]}"
corr_022ca02d2a270340,images/corr_022ca02d2a270340.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r01_c05"",""r01_c07"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c04"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c04"",""r04_c05"",""r04_c06"",""r04_c07"",""r05_c04"",""r05_c05"",""r05_c06"",""r05_c07"",""r06_c04"",""r06_c05"",""r06_c06"",""r06_c07""],""area_bins"":{""fair"":5,""poor"":8,""severe"":0},""fair_cells"":[""r02_c04"",""r02_c05"",""r02_c07"",""r03_c04"",""r03_c05"",""r03_c07"",""r04_c04"",""r04_c05"",""r04_c07"",""r05_c04"",""r05_c05"",""r05_c07"",""r06_c04"",""r06_c05"",""r06_c07""],""poor_cells"":[""r01_c05"",""r01_c07"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c05"",""r04_c06"",""r04_c07"",""r05_c05"",""r05_c06"",""r05_c07"",""r06_c05"",""r06_c06"",""r06_c07""],""row_condition_profile"":[0,2,4,4,4,4,4,0],""severe_cells"":[]}"
corr_023f3e458e9cf00f,images/corr_023f3e458e9cf00f.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r00_c05"",""r00_c06"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r01_c05"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r02_c05"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r04_c02"",""r04_c03"",""r04_c04""],""area_bins"":{""fair"":7,""poor"":9,""severe"":0},""fair_cells"":[""r00_c04"",""r00_c05"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r03_c02"",""r03_c03""],""poor_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r00_c05"",""r00_c06"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r01_c05"",""r02_c00"",""r02_c04"",""r02_c05"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c04"",""r04_c02"",""r04_c03"",""r04_c04""],""row_condition_profile"":[4,4,4,4,2,0,0,0],""severe_cells"":[]}"
corr_024031e42b1f2196,images/corr_024031e42b1f2196.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r00_c05"",""r00_c06"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r02_c00"",""r02_c01""],""area_bins"":{""fair"":4,""poor"":8,""severe"":0},""fair_cells"":[""r00_c00"",""r00_c01"",""r00_c02""],""poor_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r00_c05"",""r00_c06"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r02_c00"",""r02_c01""],""row_condition_profile"":[4,2,2,0,0,0,0,0],""severe_cells"":[]}"
